tasks_completed,avg_completion_hrs,attendance,projects,avg_hours,ontime_pct,label
39,6.11,92.52,4,12.25,55.61,Balanced Performer
46,3.05,88.72,5,7.57,49.57,Balanced Performer
32,6.43,98.22,8,8.81,49.63,Multitasker
19,4.39,60.73,10,6.81,44.23,Balanced Performer
14,5.74,67.83,6,10.12,51.14,Balanced Performer
45,4.64,60.3,7,12.83,79.85,Problem Solver
43,3.3,85.9,3,9.83,92.9,Balanced Performer
40,9.51,95.92,7,7.86,88.85,Consistency Champion
19,7.75,69.74,8,10.18,81.11,Problem Solver
28,1.83,97.08,10,5.98,46.63,Balanced Performer
41,8.75,62.41,6,12.11,57.35,Multitasker
10,5.13,97.38,10,9.02,58.59,Problem Solver
14,9.0,74.06,9,8.59,55.0,Balanced Performer
54,8.1,64.06,6,9.69,70.9,Multitasker
13,4.54,79.43,9,10.0,72.13,Problem Solver
25,0.71,70.27,4,5.57,61.41,Balanced Performer
33,3.05,71.39,8,10.46,61.23,Problem Solver
25,5.65,72.29,4,6.94,89.71,Planner
11,6.52,92.12,2,10.71,87.36,Consistency Champion
58,2.95,81.57,10,11.58,58.47,Problem Solver
37,1.82,72.45,9,11.43,94.83,Problem Solver
41,8.43,84.41,5,9.42,97.17,Balanced Performer
36,9.85,88.65,4,9.16,59.6,Balanced Performer
29,5.49,70.9,2,6.14,61.27,Balanced Performer
33,2.13,76.54,1,11.2,70.34,Balanced Performer
21,3.09,64.88,7,7.17,96.47,Planner
59,0.67,67.25,6,8.97,92.58,Speedster
44,9.19,87.24,2,7.27,46.15,Balanced Performer
42,1.62,67.26,8,6.07,63.56,Speedster
42,5.98,81.01,4,10.04,73.2,Balanced Performer
60,3.1,88.36,8,5.43,70.19,Multitasker
52,5.76,64.28,7,10.99,51.63,Problem Solver
46,6.69,82.69,5,7.54,91.53,Planner
21,8.38,70.26,10,5.0,80.62,Planner
12,2.46,98.52,10,9.09,90.27,Consistency Champion
10,0.6,79.34,8,5.37,91.53,Planner
42,1.8,92.24,9,7.21,84.9,Speedster
49,9.05,82.01,5,10.66,66.35,Balanced Performer
19,8.8,61.74,10,5.5,76.63,Balanced Performer
52,6.18,85.33,5,11.71,49.62,Balanced Performer
53,6.2,98.06,2,5.03,80.42,Planner
38,6.82,84.06,5,6.97,50.76,Balanced Performer
22,2.17,92.77,3,10.93,81.64,Balanced Performer
21,9.19,95.37,7,7.53,53.78,Balanced Performer
40,4.48,69.12,10,5.82,47.05,Multitasker
55,4.14,68.48,5,7.88,49.92,Balanced Performer
11,5.43,84.44,8,7.16,40.12,Balanced Performer
60,0.95,76.44,1,11.74,83.12,Speedster
59,2.08,93.59,3,7.51,83.94,Speedster
44,7.51,96.0,3,11.31,70.9,Balanced Performer
32,1.29,74.14,9,12.13,49.68,Problem Solver
26,6.23,69.47,5,8.47,45.01,Balanced Performer
35,2.83,91.22,9,12.28,41.15,Problem Solver
17,4.2,70.99,9,8.02,49.94,Balanced Performer
38,3.24,92.9,1,12.71,93.45,Consistency Champion
35,3.88,76.95,2,5.71,54.49,Balanced Performer
19,7.33,86.7,5,10.5,61.26,Balanced Performer
35,3.32,63.82,4,8.95,46.32,Balanced Performer
43,5.88,84.95,10,8.1,53.34,Multitasker
60,5.02,78.07,9,10.06,71.15,Problem Solver
50,6.8,83.46,7,10.63,76.47,Problem Solver
16,9.4,66.72,6,5.03,54.72,Balanced Performer
13,7.46,89.47,7,6.34,43.46,Balanced Performer
59,2.54,94.51,1,10.7,63.46,Balanced Performer
54,0.8,68.67,1,10.33,54.05,Speedster
20,2.99,63.83,8,12.73,53.17,Problem Solver
38,6.15,60.95,2,11.09,97.59,Balanced Performer
45,0.99,85.68,10,12.61,76.98,Speedster
34,5.22,84.28,9,10.62,73.41,Problem Solver
30,6.17,81.87,7,7.38,64.95,Multitasker
45,3.68,69.28,6,5.84,65.74,Multitasker
19,7.82,75.64,1,11.25,72.45,Balanced Performer
46,1.51,83.78,1,10.15,81.79,Speedster
18,1.21,79.87,2,5.39,82.13,Planner
33,7.42,99.51,6,7.88,50.3,Multitasker
44,5.21,65.46,6,12.65,70.01,Multitasker
58,7.04,87.81,2,9.0,64.72,Balanced Performer
44,4.63,76.17,1,8.46,92.23,Balanced Performer
57,2.84,77.13,10,8.66,77.89,Multitasker
45,8.28,88.7,5,6.67,71.95,Balanced Performer
27,8.09,87.7,5,7.95,46.92,Balanced Performer
58,7.1,99.65,2,7.96,76.34,Balanced Performer
48,3.09,65.14,6,5.42,47.03,Multitasker
41,6.11,64.16,9,11.14,60.23,Problem Solver
